iter	Accuracy	MultiClass
0	0.4387244387	2.150695824
1	0.4598884599	2.059804601
2	0.4936364936	1.967392584
3	0.5198055198	1.893947554
4	0.5426855427	1.820646375
5	0.552981553	1.761260649
6	0.5628485628	1.703520401
7	0.5705705706	1.658711579
8	0.5744315744	1.618060878
9	0.5955955956	1.578732272
10	0.6091806092	1.533761581
11	0.6186186186	1.496448397
12	0.6284856285	1.467709259
13	0.6377806378	1.431891456
14	0.6409266409	1.402529039
15	0.6462176462	1.378938506
16	0.6522236522	1.351599297
17	0.6535106535	1.328175283
18	0.6590876591	1.300020323
19	0.6622336622	1.2786927
20	0.6655226655	1.256188909
21	0.6702416702	1.232187268
22	0.6732446732	1.215686299
23	0.6726726727	1.200343343
24	0.6815386815	1.181153278
25	0.6852566853	1.165588101
26	0.6912626913	1.146815782
27	0.6948376948	1.129648525
28	0.6988416988	1.115953649
29	0.7054197054	1.101021322
30	0.7058487058	1.088887806
31	0.7077077077	1.077295846
32	0.7101387101	1.067166793
33	0.7144287144	1.055534473
34	0.7165737166	1.044282191
35	0.7187187187	1.037827467
36	0.7207207207	1.02569595
37	0.7214357214	1.017102764
38	0.7258687259	1.008130595
39	0.7267267267	0.9972159755
40	0.7305877306	0.9870761895
41	0.7331617332	0.9765221723
42	0.7338767339	0.9675316139
43	0.737022737	0.9593236536
44	0.7388817389	0.9503110634
45	0.7414557415	0.9388799964
46	0.7437437437	0.9313103585
47	0.7456027456	0.9239466276
48	0.7488917489	0.9156880516
49	0.7503217503	0.9088644903
50	0.7537537538	0.9016893434
51	0.7533247533	0.8956502188
52	0.7554697555	0.889186185
53	0.7586157586	0.8811264821
54	0.7587587588	0.8734300132
55	0.7609037609	0.8666513869
56	0.7627627628	0.8602453047
57	0.7634777635	0.8544963522
58	0.7650507651	0.8484115347
59	0.7680537681	0.8423699073
60	0.7707707708	0.8347475835
61	0.7723437723	0.8303329469
62	0.7742027742	0.8267781437
63	0.7769197769	0.8194567543
64	0.7773487773	0.8142329097
65	0.7789217789	0.8091409861
66	0.7807807808	0.8047765323
67	0.7814957815	0.8003762538
68	0.7829257829	0.795139423
69	0.7857857858	0.7889793175
70	0.7872157872	0.7843474079
71	0.7883597884	0.7802865561
72	0.7892177892	0.7761661118
73	0.7895037895	0.7714109285
74	0.7913627914	0.7681045785
75	0.7932217932	0.7631531502
76	0.7942227942	0.7589585528
77	0.7965107965	0.755658451
78	0.7975117975	0.7504660522
79	0.7979407979	0.7467722574
80	0.7980837981	0.7436781964
81	0.7972257972	0.7395465925
82	0.7990847991	0.735140618
83	0.8015158015	0.7310801803
84	0.8035178035	0.7268968065
85	0.8055198055	0.7216421366
86	0.8068068068	0.7176126012
87	0.8076648077	0.7122567386
88	0.8086658087	0.7082464696
89	0.8096668097	0.7048734859
