iter	Passed	Remaining
0	139	139628
1	263	131267
2	410	136567
3	542	135124
4	637	126787
5	721	119534
6	807	114519
7	892	110667
8	978	107785
9	1075	106445
10	1174	105570
11	1277	105198
12	1432	108735
13	1543	108740
14	1644	107979
15	1748	107531
16	1855	107305
17	1952	106538
18	2092	108037
19	2216	108622
20	2350	109580
21	2484	110433
22	2587	109914
23	2696	109677
24	2789	108780
25	2880	107895
26	2969	107009
27	3058	106156
28	3159	105772
29	3261	105466
30	3350	104716
31	3436	103941
32	3539	103719
33	3655	103849
34	3778	104189
35	3889	104141
36	3990	103860
37	4123	104392
38	4265	105105
39	4401	105631
40	4522	105792
41	4626	105522
42	4741	105536
43	4833	105010
44	4916	104336
45	5000	103704
46	5086	103132
47	5170	102545
48	5282	102529
49	5372	102078
50	5483	102035
51	5590	101912
52	5674	101384
53	5754	100806
54	5849	100504
55	5934	100031
56	6029	99757
57	6137	99683
58	6232	99405
59	6351	99507
60	6441	99154
61	6529	98781
62	6611	98329
63	6696	97929
64	6780	97536
65	6875	97297
66	6956	96878
67	7041	96511
68	7125	96143
69	7226	96009
70	7322	95813
71	7439	95881
72	7551	95889
73	7637	95567
74	7715	95157
75	7801	94846
76	7884	94513
77	7975	94271
78	8092	94338
79	8170	93962
80	8272	93858
81	8385	93871
82	8486	93757
83	8568	93437
84	8648	93096
85	8730	92788
86	8813	92485
87	8899	92231
88	8994	92069
89	9076	91778
90	9158	91487
91	9255	91351
92	9342	91114
93	9423	90829
94	9519	90683
95	9606	90465
96	9695	90256
97	9779	90013
98	9859	89728
99	9943	89492
100	10043	89396
101	10151	89374
102	10250	89266
103	10348	89157
104	10434	88941
105	10514	88676
106	10618	88621
107	10706	88424
108	10790	88208
109	10875	87994
110	10959	87771
111	11038	87519
112	11139	87440
113	11248	87421
114	11332	87210
115	11426	87081
116	11511	86874
117	11599	86702
118	11687	86523
119	11799	86529
120	11888	86367
121	11974	86178
122	12093	86224
123	12187	86099
124	12304	86130
125	12389	85938
126	12472	85738
127	12557	85545
128	12652	85428
129	12746	85300
130	12860	85309
131	12953	85177
132	13058	85125
133	13159	85044
134	13271	85035
135	13352	84825
136	13434	84626
137	13515	84424
138	13598	84233
139	13677	84019
140	13767	83877
141	13850	83686
142	13927	83465
143	14006	83261
144	14120	83259
145	14208	83111
146	14320	83099
147	14418	83002
148	14501	82826
149	14587	82660
150	14672	82494
151	14754	82314
152	14846	82187
153	14928	82010
154	15007	81816
155	15088	81631
156	15168	81444
157	15270	81377
158	15364	81266
159	15446	81095
160	15533	80946
161	15617	80787
162	15697	80607
163	15793	80510
164	15897	80449
165	15977	80272
166	16094	80282
167	16172	80093
168	16279	80047
169	16374	79945
170	16459	79792
171	16537	79612
172	16621	79457
173	16703	79291
174	16789	79152
175	16873	78997
176	16959	78856
177	17041	78697
178	17122	78535
179	17215	78428
180	17301	78287
181	17380	78116
182	17470	77995
183	17550	77834
184	17632	77679
185	17709	77504
186	17789	77339
187	17910	77360
188	18046	77439
189	18145	77357
190	18245	77279
191	18344	77197
192	18434	77080
193	18527	76975
194	18609	76825
195	18690	76668
196	18768	76504
197	18850	76355
198	18930	76195
199	19016	76064
200	19102	75935
201	19203	75862
202	19288	75728
203	19370	75582
204	19462	75477
205	19553	75365
206	19638	75234
207	19718	75081
208	19803	74949
209	19884	74803
210	19994	74767
211	20101	74716
212	20190	74600
213	20302	74567
214	20393	74460
215	20478	74329
216	20558	74181
217	20654	74091
218	20737	73954
219	20823	73827
220	20901	73673
221	20990	73562
222	21087	73475
223	21182	73380
224	21271	73269
225	21358	73147
226	21440	73009
227	21523	72877
228	21609	72756
229	21699	72646
230	21779	72502
231	21861	72367
232	21941	72227
233	22054	72193
234	22136	72062
235	22239	71996
236	22333	71901
237	22412	71758
238	22492	71619
239	22584	71516
240	22662	71374
241	22755	71276
242	22855	71200
243	22960	71138
244	23064	71075
245	23143	70935
246	23237	70840
247	23329	70742
248	23412	70614
249	23491	70474
250	23574	70347
251	23655	70215
252	23735	70080
253	23833	70000
254	23923	69893
255	24015	69796
256	24109	69702
257	24209	69625
258	24326	69599
259	24408	69471
260	24489	69339
261	24569	69207
262	24651	69079
263	24730	68944
264	24815	68828
265	24905	68724
266	24987	68599
267	25071	68478
268	25158	68368
269	25257	68287
270	25339	68163
271	25427	68055
272	25511	67938
273	25594	67816
274	25672	67681
275	25754	67559
276	25837	67437
277	25945	67383
278	26030	67269
279	26126	67181
280	26231	67120
281	26338	67061
282	26443	66995
283	26527	66878
284	26632	66813
285	26716	66698
286	26801	66583
287	26883	66461
288	26970	66353
289	27056	66242
290	27135	66114
291	27237	66041
292	27329	65944
293	27410	65821
294	27499	65720
295	27590	65619
296	27671	65498
297	27753	65378
298	27867	65334
299	27958	65237
300	28072	65192
301	28188	65150
302	28286	65067
303	28371	64956
304	28461	64855
305	28548	64746
306	28634	64636
307	28714	64515
308	28798	64400
309	28882	64286
310	28961	64163
311	29044	64045
312	29140	63959
313	29234	63869
314	29319	63758
315	29400	63639
316	29480	63517
317	29561	63399
318	29651	63300
319	29730	63177
320	29813	63062
321	29926	63012
322	30013	62907
323	30102	62807
324	30219	62762
325	30317	62680
326	30401	62570
327	30482	62452
328	30567	62342
329	30661	62252
330	30747	62144
331	30832	62035
332	30925	61943
333	31027	61869
334	31142	61820
335	31264	61784
336	31367	61710
337	31468	61634
338	31550	61519
339	31635	61411
340	31716	61292
341	31806	61194
342	31922	61145
343	32000	61023
344	32089	60924
345	32196	60857
346	32306	60796
347	32391	60688
348	32474	60576
349	32562	60473
350	32644	60358
351	32726	60246
352	32838	60188
353	32945	60120
354	33079	60101
355	33209	60076
356	33354	60074
357	33508	60091
358	33637	60060
359	33718	59943
360	33821	59866
361	33946	59829
362	34027	59712
363	34116	59609
364	34233	59556
365	34348	59500
366	34444	59410
367	34530	59303
368	34633	59224
369	34730	59135
370	34826	59045
371	34919	58949
372	35016	58861
373	35104	58758
374	35188	58647
375	35284	58557
376	35403	58504
377	35532	58469
378	35638	58395
379	35736	58306
380	35845	58236
381	35967	58188
382	36085	58132
383	36173	58027
384	36269	57936
385	36369	57852
386	36484	57791
387	36590	57714
388	36671	57599
389	36754	57487
390	36879	57442
391	37036	57445
392	37133	57353
393	37234	57269
394	37314	57152
395	37395	57037
396	37475	56921
397	37559	56811
398	37657	56722
399	37734	56602
400	37817	56490
401	37935	56432
402	38055	56374
403	38177	56321
404	38332	56316
405	38436	56234
406	38514	56116
407	38633	56056
408	38712	55939
409	38791	55821
410	38887	55729
411	38965	55611
412	39045	55495
413	39126	55381
414	39221	55287
415	39302	55175
416	39394	55076
417	39489	54982
418	39625	54946
419	39757	54902
420	39854	54812
421	40016	54808
422	40204	54841
423	40384	54861
424	40626	54964
425	40832	55018
426	41037	55068
427	41218	55085
428	41393	55094
429	41589	55130
430	41757	55127
431	41947	55153
432	42130	55168
433	42314	55183
434	42536	55249
435	42674	55203
436	42786	55123
437	42892	55035
438	43027	54984
439	43140	54905
440	43239	54809
441	43374	54757
442	43483	54673
443	43602	54601
444	43718	54525
445	43829	54442
446	43988	54419
447	44096	54332
448	44212	54256
449	44322	54171
450	44449	54108
451	44551	54013
452	44654	53920
453	44753	53822
454	44858	53731
455	44964	53641
456	45068	53549
457	45169	53453
458	45269	53356
459	45393	53287
460	45491	53189
461	45593	53093
462	45690	52993
463	45795	52901
464	45903	52813
465	46020	52735
466	46137	52658
467	46250	52575
468	46404	52539
469	46509	52446
470	46613	52353
471	46713	52255
472	46815	52160
473	46918	52065
474	47012	51961
475	47113	51863
476	47210	51763
